date,display_date,description,link,series,html
1/10/2007,October 2007,Bradley joins the Army,,Photo,"<img src=""http://www.bradleymanning.org/wp-content/uploads/2012/11/gty_bradley_manning_dm_121108_wg-300x168.jpg"" />"
1/10/2009,October 2009,Bradley is deployed to Iraq,,,
4/5/2010," April 5, 2010","WikiLeaks releases ""Collateral Murder"" video that exposes war crimes and killing of Reuters journalists.",http://www.nytimes.com/2010/04/06/world/middleeast/06baghdad.html?_r=1,Video,"<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/5rXPrfnU3G0"" frameborder=""0"" allowfullscreen></iframe>"
5/21/2010,"May 21, 2010","Ex-hacker Adrian Lamo and Bradley Manning allegedly begin online conversations, which Lamo records and later turns in to DOD and Wired.com",,,
5/29/2010,"May 29, 2010","Bradley arrested, placed in pre-trial confinement at Camp Arifjan in Kuwait",,,
6/5/2010,"June 5, 2010",Bradley charged for leaking classified information.,,,
6/30/2010,June 2010,Bradley Manning Support Network formed.,,,
7/25/2010,"June 25, 2010",Afghan War Diary release,http://www.guardian.co.uk/world/2010/jul/25/afghanistan-war-logs-military-leaks,,
7/29/2010,"June 29, 2010","Bradley moved to prison in Quantico, VA, where he is held in maximum security solitary confinement.",,,
10/22/2010,"October 22, 2010",Iraq War Logs release,http://www.guardian.co.uk/world/iraq-war-logs,,
11/28/2010,"November 28, 2010",U.S. Diplomatic Cables release,http://en.wikipedia.org/wiki/Contents_of_the_United_States_diplomatic_cables_leak,,
1/19/2011,"January 19, 2011","Amnesty International denounces Bradley's treatment at Quantico, VA.",,,
3/11/2011,"March 11, 2011","Bradley's charges updated to 22 violations, including ""Aiding the enemy through indirect means.""",http://www.nytimes.com/2011/03/03/us/03manning.html,,
3/11/2011,"March 11, 2011","State Department spokesperson P.J. Crowley calls Bradley's treatment ""ridiculous and counterproductive and stupid"" and resigns shortly thereafter.",http://www.guardian.co.uk/world/2011/mar/13/pj-crowley-resigns-bradley-manning-remarks,,
3/11/2011,"March 11, 2011","President Obama tells press he has been assured by the Pentagon that Bradley's Quantico conditions are ""appropriate.""",,,
3/11/2011,"March 20, 2011","Daniel Ellsberg, Pentagon Papers whistle-blower, is arrested for protesting Manning's imprisonment at Quantico.",http://www.washingtonpost.com/world/protesters-arrested-at-quantico-as-rally-for-alleged-wikileaks-source-turns-tense/2011/03/20/AB39JP3_story.html,,
4/7/2011,"April 7, 2011",UN Special Rapporteur on Torture Juan Mendez denied ability to investigate Bradley's case.,http://www.guardian.co.uk/world/2011/apr/11/bradley-manning-juan-mendez-torture,,
4/12/2011,"April 12, 2011",Avaaz petition to free Bradley gets over 500K signatures.,,,
4/19/2011,"April 19, 2011",Defense reports evidence that the military lied to journalists regarding reasons for Bradley's harsh pre-trial confinement.,http://www.bradleymanning.org/news/why-was-pfc-manning-moved-to-fort-leavenworth,,
4/20/2011,"April 20, 2011",Bradley Manning is transferred to medium security in Ft. Leavenworth.,,,
